police_district_number,year_month,total_calls,no_report_count,no_report_rate,mismatch_count,mismatch_rate,downgrade_count,downgrade_rate,total_citations,total_bias,citations_per_100_calls,bias_per_100_calls
3,2018-09-01T00:00:00Z,3586,2989,83.35192414947016,171,28.643216080402013,55,9.212730318257957,NA,NA,NA,NA
3,2018-10-01T00:00:00Z,3740,3061,81.84491978609626,200,29.455081001472756,69,10.1620029455081,NA,1,NA,0.026737967914438502
3,2018-11-01T00:00:00Z,3318,2796,84.26763110307414,158,30.268199233716476,47,9.003831417624522,NA,1,NA,0.03013863773357444
3,2018-12-01T00:00:00Z,3534,2938,83.13525749858516,202,33.89261744966443,59,9.899328859060402,NA,NA,NA,NA
3,2019-01-01T00:00:00Z,3283,2726,83.03381053914103,181,32.49551166965889,44,7.899461400359066,NA,1,NA,0.03045994517209869
3,2019-02-01T00:00:00Z,2993,2431,81.22285332442367,179,31.85053380782918,52,9.252669039145907,NA,1,NA,0.03341129301703976
3,2019-03-01T00:00:00Z,3272,2692,82.27383863080685,182,31.379310344827587,48,8.275862068965518,NA,1,NA,0.030562347188264057
3,2019-04-01T00:00:00Z,3380,2798,82.7810650887574,225,38.659793814432994,59,10.137457044673539,NA,NA,NA,NA
3,2019-05-01T00:00:00Z,3857,3222,83.53642727508426,199,31.338582677165356,52,8.188976377952756,NA,NA,NA,NA
3,2019-06-01T00:00:00Z,3547,2924,82.43586129123203,203,32.58426966292135,64,10.272873194221509,NA,1,NA,0.028192839018889203
3,2019-07-01T00:00:00Z,3771,3093,82.02068416865554,194,28.613569321533923,51,7.52212389380531,NA,NA,NA,NA
3,2019-08-01T00:00:00Z,3566,2950,82.72574312955693,208,33.76623376623377,67,10.876623376623376,NA,NA,NA,NA
3,2019-09-01T00:00:00Z,3416,2792,81.73302107728337,218,34.93589743589743,58,9.294871794871796,NA,1,NA,0.02927400468384075
3,2019-10-01T00:00:00Z,3545,2836,80,193,27.221438645980257,63,8.885754583921015,NA,1,NA,0.028208744710860365
3,2019-11-01T00:00:00Z,3330,2691,80.8108108108108,182,28.482003129890455,54,8.450704225352112,NA,NA,NA,NA
