id,incident_date,district,bias_code,bias_code_2,bias,status,#_of_victims,victim_type,#_of_suspects,#_suspects_<_18_of_age,#_suspects_18-35_of_age,#_suspects_36-45_of_age,#_suspects_46-55_of_age,#_suspects_>_55_of_age,suspect_known/unknown,year,month,year_month
250041427,2025-09-15,2,Anti-Jewish,Anti-Homosexual,Written Intimidation/Simple Assault,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,9,2025-09-01
250041363,2025-09-15,6,Anti-Multi-Racial,NA,Verbal Intimidation/Simple Assault,Open,2,Individual(s),2,NA,NA,1,1,NA,Known,2025,9,2025-09-01
250041300,2025-09-14,6,Anti-Asian,Anti-Black,Verbal Intimidation/Simple Assault,Open,1,Individual(s),3,NA,1,1,NA,NA,Known,2025,9,2025-09-01
250040635,2025-09-11,3,Anti-Black,NA,Vandalism,Closed-Admin,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2025,9,2025-09-01
250040623,2025-09-10,4,Anti-Jewish,NA,Written Intimidation/Simple Assault,Open,3,Business/Financial Institution,NA,NA,NA,NA,NA,NA,NA,2025,9,2025-09-01
250040406,2025-09-09,2,Anti-Jewish,NA,Vandalism,Open,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2025,9,2025-09-01
250040622,2025-09-09,2,Anti-Jewish,Anti-Black,Verbal Intimidation/Simple Assault,Closed-Admin,NA,NA,1,NA,NA,NA,NA,NA,Unknown,2025,9,2025-09-01
250040106,2025-09-07,3,Anti-Asian,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,NA,NA,NA,NA,1,Known,2025,9,2025-09-01
250039844,2025-09-05,2,Anti-Other Ethnicity,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,NA,NA,NA,NA,NA,Unknown,2025,9,2025-09-01
250039689,2025-09-04,5,Anti-Jewish,NA,Social Media,Open,1,Business/Financial Institution,2,NA,NA,NA,NA,NA,Known,2025,9,2025-09-01
250039442,2025-09-03,2,Anti-Black,Anti-Jewish,Written Intimidation/Simple Assault,Open,NA,NA,1,NA,NA,NA,NA,NA,Unknown,2025,9,2025-09-01
250039827,2025-09-03,2,Anti-Jewish,NA,Written Intimidation/Simple Assault,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,9,2025-09-01
250039230,2025-09-02,1,Anti-Jewish,NA,Other,Open,NA,Religious Organization,NA,NA,NA,NA,NA,NA,NA,2025,9,2025-09-01
250038916,2025-08-30,3,Anti-Jewish,NA,Written Intimidation/Simple Assault,Open,2,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,8,2025-08-01
250038890,2025-08-30,2,Anti-Other Religion,NA,Verbal Intimidation/Simple Assault,Open,2,Individual(s),2,NA,NA,2,1,NA,Known,2025,8,2025-08-01
250038695,2025-08-29,2,Anti-Black,NA,Written Intimidation/Simple Assault,Closed-Admin,NA,NA,2,2,NA,NA,NA,NA,Known,2025,8,2025-08-01
250038460,2025-08-28,2,Anti-Black,Anti-Jewish,Vandalism,Open,NA,Business/Financial Institution,NA,NA,NA,NA,NA,NA,NA,2025,8,2025-08-01
250038859,2025-08-28,1,Anti-Transgender,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,NA,NA,NA,NA,1,Known,2025,8,2025-08-01
250038247,2025-08-26,2,Anti-Jewish,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,NA,NA,NA,NA,1,Known,2025,8,2025-08-01
250037980,2025-08-25,1,Anti-Black,NA,Assault (physical),Closed-Exception,2,Individual(s),1,1,NA,NA,NA,NA,Known,2025,8,2025-08-01
250038150,2025-08-25,5,Anti-Hispanic,NA,Verbal Intimidation/Simple Assault,Open,NA,Individual(s),1,NA,NA,NA,NA,1,Known,2025,8,2025-08-01
250037741,2025-08-23,1,Anti-Islamic,NA,Vandalism-Motor Vehicle,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,8,2025-08-01
250037780,2025-08-23,6,Anti-Black,NA,Vandalism-Motor Vehicle,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,8,2025-08-01
250037336,2025-08-21,5,Anti-Black,NA,Vandalism,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,8,2025-08-01
250036794,2025-08-17,2,Anti-Black,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,NA,NA,NA,NA,NA,Known,2025,8,2025-08-01
250036433,2025-08-15,5,Anti-Black,NA,Verbal Intimidation/Simple Assault,Open,2,Government,1,NA,NA,NA,NA,1,Known,2025,8,2025-08-01
250036320,2025-08-14,2,Anti-Black,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),2,NA,NA,1,1,NA,Known,2025,8,2025-08-01
250036117,2025-08-13,5,Anti-Hispanic,NA,Verbal Intimidation/Simple Assault,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,8,2025-08-01
250036071,2025-08-13,1,Anti-Jewish,NA,Vandalism,Open,1,Religious Organization,NA,NA,NA,NA,NA,NA,NA,2025,8,2025-08-01
250034825,2025-08-05,1,Anti-Jewish,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,NA,NA,NA,NA,NA,Unknown,2025,8,2025-08-01
250034326,2025-08-01,4,Anti-Black,NA,Assault (physical),Open,1,Individual(s),1,NA,NA,NA,NA,1,Known,2025,8,2025-08-01
250033461,2025-07-27,2,Anti-Jewish,NA,Vandalism-Motor Vehicle,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,7,2025-07-01
250033435,2025-07-27,1,Anti-Protestant,NA,Vandalism-Motor Vehicle,Open,2,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,7,2025-07-01
250032738,2025-07-23,3,Anti-Asian,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,NA,NA,NA,1,NA,Known,2025,7,2025-07-01
250032530,2025-07-21,6,Anti-Jewish,NA,Verbal Intimidation/Simple Assault,Open,2,Individual(s),2,NA,NA,1,NA,1,Known,2025,7,2025-07-01
250032287,2025-07-19,6,Anti-Jewish,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,7,2025-07-01
250032220,2025-07-19,6,Anti-Jewish,NA,Assault (simple),Open,2,Individual(s),1,NA,1,NA,NA,NA,Known,2025,7,2025-07-01
250032098,2025-07-18,2,Anti-Jewish,NA,Vandalism,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,7,2025-07-01
250031832,2025-07-16,6,Anti-Multi-Racial,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,NA,NA,NA,NA,NA,Known,2025,7,2025-07-01
250031730,2025-07-16,4,Anti-Black,NA,Assault (physical),Open,1,Individual(s),3,NA,NA,NA,NA,NA,Known,2025,7,2025-07-01
250031385,2025-07-14,2,Anti-Male Homosexual,NA,Vandalism,Open,NA,Society,NA,NA,NA,NA,NA,NA,NA,2025,7,2025-07-01
250030857,2025-07-11,4,Anti-Black,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,7,2025-07-01
250030697,2025-07-10,3,Anti-Black,NA,Vandalism,Open,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2025,7,2025-07-01
250030187,2025-07-07,1,Anti-Black,Anti-Jewish,Vandalism,Open,NA,Business/Financial Institution,NA,NA,NA,NA,NA,NA,NA,2025,7,2025-07-01
250029247,2025-07-01,1,Anti-Jewish,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,Unknown,2025,7,2025-07-01
250029192,2025-07-01,3,Anti-Jewish,NA,Vandalism,Open,NA,Society,NA,NA,NA,NA,NA,NA,NA,2025,7,2025-07-01
250029240,2025-07-01,3,Anti-Hispanic,NA,Assault (physical),Open,4,Individual(s),1,NA,NA,NA,NA,1,Known,2025,7,2025-07-01
250028664,2025-06-27,1,Anti-Jewish,Anti-Black,Vandalism,Open,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2025,6,2025-06-01
250028594,2025-06-27,2,Anti-Jewish,NA,Vandalism,Open,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2025,6,2025-06-01
250028716,2025-06-27,2,Anti-Jewish,NA,Vandalism,Open,NA,Religious Organization,NA,NA,NA,NA,NA,NA,NA,2025,6,2025-06-01
250028356,2025-06-25,6,Anti-White,NA,Verbal Intimidation/Simple Assault,Open,2,Individual(s),1,NA,NA,NA,1,NA,Known,2025,6,2025-06-01
250028235,2025-06-24,6,Anti-Hispanic,NA,Other,Open,1,Individual(s),1,NA,NA,NA,NA,NA,Known,2025,6,2025-06-01
250027920,2025-06-23,2,Anti-Jewish,NA,Vandalism,Open,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2025,6,2025-06-01
250027395,2025-06-19,3,Anti-Black,NA,Written Intimidation/Simple Assault,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,6,2025-06-01
